"state_name","district_name","crop","production","area_rounded"
"Tamil Nadu","THANJAVUR","Arhar/Tur","27","44"
"Tamil Nadu","THANJAVUR","Banana","183830","4179"
"Tamil Nadu","THANJAVUR","Black pepper","2","8"
"Tamil Nadu","THANJAVUR","Cashewnut","673","1686"
"Tamil Nadu","THANJAVUR","Castor seed","1","3"
"Tamil Nadu","THANJAVUR","Coconut ","5288000","30950"
"Tamil Nadu","THANJAVUR","Cotton(lint)","1105","549"
"Tamil Nadu","THANJAVUR","Dry chillies","10","20"
"Tamil Nadu","THANJAVUR","Dry ginger","100","5"
"Tamil Nadu","THANJAVUR","Gram","5","23"
"Tamil Nadu","THANJAVUR","Groundnut","20229","9111"
"Tamil Nadu","THANJAVUR","Jowar","150","83"
"Tamil Nadu","THANJAVUR","Maize","12489","2409"
"Tamil Nadu","THANJAVUR","Moong(Green Gram)","1240","5784"
"Tamil Nadu","THANJAVUR","Onion","38","4"
"Tamil Nadu","THANJAVUR","Ragi","8","4"
"Tamil Nadu","THANJAVUR","Sesamum","1983","7547"
