"state_name","district_name","crop","production","area_rounded"
"Tamil Nadu","THANJAVUR","Dry ginger","57","3"
"Tamil Nadu","THANJAVUR","Gram","6","9"
"Tamil Nadu","THANJAVUR","Groundnut","22555","15950"
"Tamil Nadu","THANJAVUR","Maize","4081","1226"
"Tamil Nadu","THANJAVUR","Moong(Green Gram)","841","13819"
"Tamil Nadu","THANJAVUR","Onion","154","16"
"Tamil Nadu","THANJAVUR","Ragi","10","4"
"Tamil Nadu","THANJAVUR","Sesamum","4244","12895"
"Tamil Nadu","THANJAVUR","Small millets","4","3"
"Tamil Nadu","THANJAVUR","Sugarcane","1675345","15507"
"Tamil Nadu","THANJAVUR","Sunflower","372","234"
"Tamil Nadu","THANJAVUR","Tapioca","9496","225"
"Tamil Nadu","THANJAVUR","Turmeric","37","7"
"Tamil Nadu","THANJAVUR","Urad","3097","26428"
"Tamil Nadu","THANJAVUR","Rice","357161","177094"
"Tamil Nadu","THANJAVUR","Small millets","1","4"
"Tamil Nadu","THANJAVUR","Arecanut","18","19"
